english,kabyle
"vacations","amaris, smires, tasrih"
"vaccine","tagezzayt"
"vacuum cleaner","isiselmen, isislem"
"vaginal","anekdal"
"vain","abennan, bennen"
"vainly","bennan"
"valid","ameddafu, ddufet"
"validate","aghbal"
"validation","aseghbel"
"validity","taneghbalt"
"valorization","azzewzel"
"valorous","amazal"
"value","azal"
"valve","taneffigt"
"vanilla","tawanilt"
"vanity","tabennant"
"variable","ameskil, amutti"
"varied","andi"
"variety","irzi, tand'a, tanda, tined'wa"
"vase","tibinin, tibint"
"vedic","avidi, ividiyen"
"vedic language","tavidit"
"vehicle 4x4","akannar"
"vehicular language","tutlayt tamaywalt"
"velar","anghi, have-yen"
"venezuelan","avenezueli, ivenezueliyen"
"vengeance","tighawt, ttsar"
"verb","amyag, tifert"
"verbal","anemyag"
"verification","adaddet"
"verisimilitude","tamzunit"
"vernal","anefsay"
"verse","tamejrut, timejra"
"version","tasiwelt, tisiwal"
"vertebra","tigzit"
"vertebral","axelxali"
"vertebral column","ajgu uzagur"
"vertical","aratak"
"very","acaraf, aged"
"vest","tabedâit"
"vestige","agaluz, igulaz"
"veterinary","abid'ar, abidhar"
"vibration","tasmamayt"
"vice","anamzul, aner"
"vice-president","anmazul n uselway"
"vicinity","az'i, aziyen"
"vicious","amunner"
"victim","taghtest, tagzemt"
"victory","tarennawt"
"video recorder","akelsanay, amesfiri"
"villa","tadwarit, tidwaryin"
"village","taddart"
"violence","takritt"
"violent","amekridh, anekrad"
"virgule","ticcert, tuccar"
"virtue","taszult, tuz'ult"
"virtuous","amaszul, amaz'ul, imuzal"
"visa","tasiragt"
"vise","azemmad'"
"vision","asekkud, tamughli"
"visit","tirza, tirzi"
"visitor","anerzu, anerzuf, inerza"
"visual","az'rawi"
"vivid","aseflellay"
"vocabulary","amawal"
"vocal","aghucan, taghwect"
"vocalic","aghraw"
"vocation","tamghit"
"volet of a window","tidlatin, tidlit"
"volontariat","tamaghzelt, tiwizi"
"volume","abelghan, ablegh, asuned', asunedh, ibelghen, isunad'"
"volumetry","akat n yibelghen"
"voluntary","tamaghzelt, timighezlin, timughzal"
"volunteer","amaghzal"
"vote","adghar, afran"
"voter","aferran"
"voting","adeqqar"
"vowel","tighri"
"voyager","assikel, issikel, issikil, ssikel, ur issakel"
"vulgar","anafsas, uqbih"
"vulva","aneftak"
"wafer","tafessast"
"wagon","tarkibt"
"waiter","aqcic, aqrur"
"waiting","agani, aradju, tagunnit"
"wakening","amesker, amsakwi"
"walk","imurruyen, tikli, tikliwin"
"walked","agadaz, alzuz, ssuq"
"walkman","asefledan, asmentar"
"wall","aghrab, igherban, ihidh"
"wandering","ahuffu, timeckit"
"war","amgar, amgaru, imgura, legrari, lgirra, lgirrat, tt'rad"
"war (1)","amgara, imenghi, tt'radat"
"warning","aghtal"
"washing","aflulu, aseflulu"
"watch","tamrint"
"watchmaker","asemmasrag"
"water","aman"
"water-closets","abduz"
"watering-can","assuxan"
"watermelon","talegguz't"
"wave","tamdeswelt"
"waving","amdeswal"
"we","nekkwenti, nekwni"
"weak","alamadh, anammum"
"weakening","anzaf"
"weakness","tammunt"
"wealth","tabaghurt, tibughar"
"wealthiness","tiggenfit"
"weapon","amrig"
"weariness","eeggu"
"wednesday","ahad"
"week","ddurt, imalas, imulas"
"weekend","ddurt n imalas, taggara n taggara"
"weekly","amalsan"
"weevils","cluc"
"welcome","ansuf, asnubbeg"
"welcome to","ans'uf s"
"wellington boot","tamenyawt"
"welsh","agali, igaliyen"
"welsh language","tagalit"
"west","ataram"
"western","utrim"
"wheat","irden"
"wheel","asghal"
"when","asmi, mid"
"when?","melmi"
"where","anda, anida, din"
"whip","azelf"
"whisper","ameckuken, asbecbec"
"white","acebhan, acemrar, amellal"
"who?","anwa?, anwi"
"whole","ummid"
"why","acimi, acughar, ayen"
"width","tehrew, turrut"
"will","aqqas, tamumit"
"wind","adhu, adu, wadu"
"window","asfaylu, isfuyla, tasersut, tisersa, ttaq"
"windshield","tarad'ut, tiruda"
"wing","afraw, ifrawen, tiferrets"
"winner","amernay"
"winter","ccetwa, tagrest, tigersin"
"wintering","amessigres, imessigras"
"wire fencing","zzarb"
"wiring","asgatu"
"wisdom","tamusni, tamussni, tasnagt, timussniwin"
"with","akwed"
"without","aghalad, aghalad, tar, war"
"witness","anagi, inigan, inigi"
"wizard","asehhar, imhergi"
"woman","tamettut"
"woman old","tamghart"
"women","tamgart, temgart"
"wood","asghar, iqeccadhen"
"woodworker","amesghar"
"wool","tadutt"
"word","awal, tifirt"
"work","amahil, amuzel, aqdac, aqeddic, imuhal"
"worker","amehhal, anemmazul, anmahal, axeddam"
"works public","imuhal, izuyaz"
"world","amad'al, amdhal, ddunit"
"worried (to be)","nnughjef"
"worry","ahebbar, taremmight"
"wounded","amagus, imugas"
"writer","amaru"
"writing","pulled, tirawt"
"xenophobia","tawefmugazt"
"yard","as'aka, iäuka"
"year","aseggwas, aseggwas"
"yearly","amseggas"
"yellow","awragh"
"yes","ih"
"yesterday","idhelli, idhennat"
"yogurt","tikkilt"
"yoke","azaglu"
"you","kunnemti, kunwi"
"young girl","tilemszit"
"young man","aarim, ilemszi"
"young mouse","amumad"
"your","kem, ketctc"
"youth","temszi, timed'ra, timed'rit, timedhrit, tiuurma"
"zebra","aghyul, llexla"
"zero","ilem, ulac"
"zest","tammut"
"zipper","tazibba, tizibbiwin"
"zone","azun"
"zoo","alma n yighersiwen"
